CPF/CNPJ,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_UE,NM_UE,SG_PARTIDO,DS_CARGO,DS_OCUPACAO,SUM de Valor do Auto,COUNTA de Valor do Auto
x,CARLOS AVALONE JUNIOR,CARLOS AVALONE,MT,MATO GROSSO,PSDB,DEPUTADO ESTADUAL,DEPUTADO,16665,4
x,ANTONIO HERVAZIO BEZERRA CAVALCANTI,HERVAZIO BEZERRA,PB,PARAÍBA,PSB,DEPUTADO ESTADUAL,DEPUTADO,15960,3
x,JAIR GREGORIO DE SOUZA,JAIR DI GREGÓRIO,MG,MINAS GERAIS,AVANTE,DEPUTADO FEDERAL,OUTROS,15000,1
x,JOSE RAIMUNDO FERNANDES DE OLIVEIRA,ZÉ RAIMUNDO,AM,AMAZONAS,PMB,DEPUTADO ESTADUAL,EMPRESÁRIO,15000,1
x,IVORY DE LIRA AGUIAR CUNHA,IVORY DE LIRA,TO,TOCANTINS,PC do B,DEPUTADO ESTADUAL,DEPUTADO,15000,1
x,DARIO BOMFIM SANTOS,DÁRIO DA SUCÃ,BA,BAHIA,PATRIOTA,DEPUTADO ESTADUAL,OUTROS,15000,1
x,DAVI MOREIRA DE ALENCAR,DAVI MOREIRA DE ALENCAR,PE,PERNAMBUCO,REDE,DEPUTADO FEDERAL,BANCÁRIO E ECONOMIÁRIO,13500,1
x,JULIO CESAR GARCIA,JULIO GARCIA,SC,SANTA CATARINA,PSD,DEPUTADO ESTADUAL,DEPUTADO,13000,1
x,RAUL DA SILVA LIMA SOBRINHO,RAUL LIMA,RR,RORAIMA,PODE,DEPUTADO FEDERAL,COMERCIANTE,12500,1
x,PEDRO IVO DA SILVA WANDERLEY,PEDÃO DE MARÍLIA,PE,PERNAMBUCO,SOLIDARIEDADE,DEPUTADO ESTADUAL,OUTROS,12500,2
x,FERNANDO REIS DA COSTA E SILVA,FERNANDO COSTA E SILVA,RJ,RIO DE JANEIRO,PL,DEPUTADO ESTADUAL,OUTROS,12500,1
x,CHARLES FERNANDES SILVEIRA SANTANA,CHARLES FERNANDES,BA,BAHIA,PSD,DEPUTADO FEDERAL,DEPUTADO,12000,1
x,MARCIO AUGUSTO VASCONCELOS COUTINHO,MARCIO COUTINHO,MA,MARANHÃO,MDB,DEPUTADO ESTADUAL,ADVOGADO,12000,2
x,MARCOS ANTONIO DE CARVALHO CALDAS,MARCOS CALDAS,MA,MARANHÃO,PROS,DEPUTADO ESTADUAL,EMPRESÁRIO,12000,2
x,MATHEUS DE OLIVEIRA PINTO,MATHEUS MAFEPI,SP,SÃO PAULO,PL,DEPUTADO FEDERAL,OUTROS,11500,1
x,NOEL DE CARVALHO NETO,NOEL DE CARVALHO,RJ,RIO DE JANEIRO,SOLIDARIEDADE,DEPUTADO ESTADUAL,DEPUTADO,11500,2
x,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,MG,MINAS GERAIS,PSD,DEPUTADO FEDERAL,EMPRESÁRIO,11200,1
x,REGINA APARECIDA SILVA,REGINA,RR,RORAIMA,PMN,2º SUPLENTE,COMERCIANTE,11000,1
x,MARCOS LUIZ DE OLIVEIRA,MARQUINHO TIRADENTES,CE,CEARÁ,AVANTE,DEPUTADO ESTADUAL,POLICIAL MILITAR,11000,1
x,OSCAR SPINDOLA RODRIGUES JUNIOR,DR. OSCAR RODRIGUES,CE,CEARÁ,UNIÃO,DEPUTADO ESTADUAL,EMPRESÁRIO,11000,2
x,LUIZ GONZAGA PATRIOTA,GONZAGA PATRIOTA,PE,PERNAMBUCO,PSB,DEPUTADO FEDERAL,DEPUTADO,11000,1
x,HUDSON SOARES LEAL,HUDSON LEAL,ES,ESPÍRITO SANTO,REPUBLICANOS,DEPUTADO ESTADUAL,MÉDICO,10500,3
x,JOSE LUCIANO NASCIMENTO LIMA,LUCIANO DE MENININHA,SE,SERGIPE,PP,DEPUTADO FEDERAL,PRODUTOR AGROPECUÁRIO,10500,1
x,JOSE EUZEBIO DE MIRANDA,ZÉ DA DEZ,RR,RORAIMA,PV,DEPUTADO ESTADUAL,AGRICULTOR,"10196,1",1
x,CAMILO DE LELLIS CARNEIRO FIGUEIREDO,CAMILO FIGUEIREDO,MA,MARANHÃO,PODE,DEPUTADO FEDERAL,EMPRESÁRIO,10000,1
x,HUBSCLENDER GOIS CONCEICAO,RUBENS GÓIS,BA,BAHIA,PL,DEPUTADO ESTADUAL,ADVOGADO,10000,2
x,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,BR,BRASIL,PL,PRESIDENTE,PRESIDENTE DA REPÚBLICA,10000,1
x,IRMANIO SARMENTO DE MAGALHAES,IRMANIO SARMENTO,RR,RORAIMA,PSOL,2º SUPLENTE,ARTESÃO,10000,1
x,ALEXANDRE FERNANDES CARVALHO,DELEGADO ALEXANDRE,RR,RORAIMA,PROS,DEPUTADO ESTADUAL,SERVIDOR PÚBLICO FEDERAL,10000,1
x,WELLINGTON SILVA SOUSA,WELLINGTON SOUSA,PB,PARAÍBA,REDE,DEPUTADO ESTADUAL,EMPRESÁRIO,9600,1
x,MARCOS ANTONIO DE ARAUJO MENDONCA,DR MARCOS,CE,CEARÁ,AVANTE,DEPUTADO FEDERAL,ADVOGADO,9000,1
x,JAIME VERGETTI DE SIQUEIRA JUNIOR,JAIMINHO VERGETTI,AL,ALAGOAS,PSB,DEPUTADO ESTADUAL,EMPRESÁRIO,9000,1
x,THIAGO ALBERNAZ PEREIRA,THIAGO ALBERNAZ,GO,GOIÁS,MDB,DEPUTADO ESTADUAL,ECONOMISTA,9000,2
x,EDSON VANDER LENZI KAWAI,EDSON LENZI,RO,RONDÔNIA,AVANTE,DEPUTADO FEDERAL,EMPRESÁRIO,"7698,9",1
x,REGINALDO AMERICO TAVARES,REGINALDO AMÉRICO,PB,PARAÍBA,UNIÃO,DEPUTADO ESTADUAL,EMPRESÁRIO,6500,3
x,JUCIMAR DE OLIVEIRA VELOSO,PAPI,AM,AMAZONAS,PSC,DEPUTADO ESTADUAL,EMPRESÁRIO,6445,5
x,MAGNO AUGUSTO BACELAR NUNES,DR MAGNO BACELAR,MA,MARANHÃO,PP,DEPUTADO FEDERAL,MÉDICO,6000,1
x,CARLOS CESAR CORREIA DE MESSIAS,CÉSAR MESSIAS,AC,ACRE,PSB,1º SUPLENTE,PECUARISTA,6000,1
x,FRANCISCO HOLANDA IANANES DE OLIVERA,CHICO HOLANDA,RO,RONDÔNIA,UNIÃO,DEPUTADO ESTADUAL,EMPRESÁRIO,5760,2
x,SEBASTIAO VIEIRA DA SILVA,BASTIÃO VIEIRA,SC,SANTA CATARINA,PSDB,DEPUTADO ESTADUAL,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",5500,2
x,FRANCISCO DAS CHAGAS BEZERRA DE LIMA,CHAGAS ENFERMEIRO,RR,RORAIMA,PODE,DEPUTADO ESTADUAL,SERVIDOR PÚBLICO FEDERAL,5500,1
x,JEFERSON LUIZ DE ANDRADE,JEFERSON ANDRADE,SE,SERGIPE,PSD,DEPUTADO ESTADUAL,PECUARISTA,5000,1
x,EVANDO MAGAL ABADIA CORREIA SILVA,MAGAL,GO,GOIÁS,PATRIOTA,DEPUTADO FEDERAL,OUTROS,5000,1
x,JOSE ALEDSON DE SOUSA MOURA,DR. ALEDSON MOURA,PB,PARAÍBA,UNIÃO,DEPUTADO ESTADUAL,MÉDICO,5000,1
x,FRANCISCO TWARDOVSKI,CHICO TWARDOVSKI,SC,SANTA CATARINA,PDT,DEPUTADO ESTADUAL,AGRICULTOR,5000,1
x,MAGDA MOFATTO HON,MAGDA MOFATTO,GO,GOIÁS,PL,DEPUTADO FEDERAL,DEPUTADO,5000,1
x,JOSE MARCELO DO NASCIMENTO NILO,MARCELO NILO,BA,BAHIA,REPUBLICANOS,DEPUTADO FEDERAL,DEPUTADO,5000,1
x,JOSE ALVES ROCHA,JOSÉ ROCHA,BA,BAHIA,UNIÃO,DEPUTADO FEDERAL,DEPUTADO,5000,1
x,MARCOS ANTONIO LELIS MOREIRA,PROMOTOR MARCOS LELIS,SP,SÃO PAULO,AVANTE,DEPUTADO FEDERAL,MEMBRO DO MINISTÉRIO PÚBLICO,5000,1
x,SERGIO PILLON GUERRA,SÉRGIO PILLON,RR,RORAIMA,MDB,1º SUPLENTE,SERVIDOR PÚBLICO FEDERAL,4700,1
x,OCIMAR DONIZETI LEO OLIVEIRA,LEO OLIVEIRA,SP,SÃO PAULO,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,"4636,8",2
x,MARCOS DAVI DANTAS DOS SANTOS,MARCOS DAVI,PB,PARAÍBA,PP,2º SUPLENTE,EMPRESÁRIO,4500,1
x,JOSE GENARO DE ANDRADE,JOSÉ GENARO,RO,RONDÔNIA,PP,VICE-GOVERNADOR,EMPRESÁRIO,4500,1
x,MANOEL MACHADO DA ROCHA,MANOEL MACHADO,AC,ACRE,SOLIDARIEDADE,DEPUTADO ESTADUAL,APOSENTADO (EXCETO SERVIDOR PÚBLICO),4300,1
x,MARIO SERGIO LUBIANA,LUBIANA BARRIGUEIRA,ES,ESPÍRITO SANTO,PSB,DEPUTADO ESTADUAL,PRODUTOR AGROPECUÁRIO,"4078,7",1
x,MARNIO ALBERTO CADORE,MANO CADORE,SC,SANTA CATARINA,MDB,DEPUTADO ESTADUAL,EMPRESÁRIO,4000,1
x,CLOVIS JOSE PRAGANA PAIVA,CLOVIS OAIVA,PE,PERNAMBUCO,PP,DEPUTADO ESTADUAL,EMPRESÁRIO,4000,1
x,FRANCISCA AURELINA DE MEDEIROS LIMA,AURELINA MEDEIROS,RR,RORAIMA,PP,DEPUTADO ESTADUAL,DEPUTADO,4000,1
x,WELITON VIRGILIO PEREIRA,CORONEL WELITON,ES,ESPÍRITO SANTO,PTB,DEPUTADO ESTADUAL,MILITAR REFORMADO,"3515,6",1
x,ADELINO ANGELO FOLLADOR,ADELINO FOLLADOR,RO,RONDÔNIA,UNIÃO,DEPUTADO ESTADUAL,DEPUTADO,3500,1
x,EVANDRO ANSELMINI,ANSELMINI,SC,SANTA CATARINA,PTB,DEPUTADO ESTADUAL,EMPRESÁRIO,"3343,2",1
x,MAYSA PERES CUNHA PEIXOTO,MAYSA CUNHA,GO,GOIÁS,PP,DEPUTADO FEDERAL,EMPRESÁRIO,3104,2
x,EDILSON MASSOCCO,MASSOCCO,SC,SANTA CATARINA,PL,DEPUTADO ESTADUAL,EMPRESÁRIO,3000,1
x,ELVILO ARAUJO DE OLIVEIRA,GORDIM ARAUJO,CE,CEARÁ,PSDB,DEPUTADO ESTADUAL,DEPUTADO,3000,1
x,ALEXANDRE RAMOS DA COSTA,ALEXANDRE AZEVEDO,AP,AMAPÁ,PP,DEPUTADO ESTADUAL,VEREADOR,3000,2
x,OLAIR FRANCISCO,OLAIR FRANCISCO,DF,DISTRITO FEDERAL,UNIÃO,DEPUTADO DISTRITAL,EMPRESÁRIO,3000,1
x,MARIA DA CONCEICAO SOARES GOMES,CONCEICAO GOMES,RR,RORAIMA,PMN,DEPUTADO ESTADUAL,EMPRESÁRIO,3000,2
x,PEDRO VALERIO DE ARAUJO,PEDRO VALERIO,AC,ACRE,UNIÃO,DEPUTADO FEDERAL,PRODUTOR AGROPECUÁRIO,3000,1
x,ANTONIO MANGABEIRA FRANCA,DR MANGABEIRA,BA,BAHIA,PL,DEPUTADO FEDERAL,MÉDICO,3000,1
x,CLAUDIO MARQUES FONSECA DE AZEVEDO,CLAUDIO DO JORNAL,MG,MINAS GERAIS,PSOL,DEPUTADO ESTADUAL,JORNALEIRO,3000,2
x,ULISSES BRAMBINI RIVOLTA DE OLIVEIRA,ULISSES BRAMBINI,BA,BAHIA,PL,1º SUPLENTE,EMPRESÁRIO,3000,1
x,BRUNO PAULO PANTOJA,BRUNO PANTOJA,PE,PERNAMBUCO,REDE,DEPUTADO ESTADUAL,ENGENHEIRO,3000,1
x,LELIS JORGE SILVA,LELIS JORGE,MG,MINAS GERAIS,AVANTE,DEPUTADO FEDERAL,ODONTÓLOGO,3000,1
x,MARCELO BEZERRA GUERREIRO,MARCELO GUERREIRO,RN,RIO GRANDE DO NORTE,PRTB,SENADOR,ENGENHEIRO,2800,2
x,ANTONIO RODRIGUES SOARES,ANTÔNIO CUTIA,RO,RONDÔNIA,PSB,DEPUTADO ESTADUAL,EMPRESÁRIO,2703,1
x,SERGIO SEBASTIAO DE BARROS,SÉRGIO BARROS,AC,ACRE,PSDB,DEPUTADO FEDERAL,ENGENHEIRO,2700,2
